# This file was generated with pnmr-chi-gen v0.0.1 at 16:18:58 14-07-2026
# paranmr/simpnmr-compatible susceptibility tensor series
# seed=7 | chi_iso=[0.0, 1.0] | chi_ax=[-0.8, 0.8] | rho_over_ax=0.1666666667 | alpha_deg=0.0 | beta_deg=0.0 | gamma_deg=0.0
Temperature (K),chi_iso (Å^3),chi_ax (Å^3),chi_rho (Å^3),chi_xx (Å^3),chi_xy (Å^3),chi_xz (Å^3),chi_yy (Å^3),chi_yz (Å^3),chi_zz (Å^3),dchi_xx (Å^3),dchi_xy (Å^3),dchi_xz (Å^3),dchi_yy (Å^3),dchi_yz (Å^3),dchi_zz (Å^3),chi_x (Å^3),chi_y (Å^3),chi_z (Å^3),alpha (degrees),beta (degrees),gamma (degrees)
280.00,0.540587,0.091710,0.015285,0.525302,0.000000,0.000000,0.494733,0.000000,0.601727,-0.015285,0.000000,0.000000,-0.045855,0.000000,0.061140,0.494733,0.525302,0.601727,0.000000,0.000000,0.000000
281.00,0.538664,0.091383,0.015231,0.523433,0.000000,0.000000,0.492972,0.000000,0.599586,-0.015231,0.000000,0.000000,-0.045692,0.000000,0.060922,0.492972,0.523433,0.599586,0.000000,0.000000,0.000000
282.00,0.536753,0.091059,0.015177,0.521577,0.000000,0.000000,0.491224,0.000000,0.597460,-0.015177,0.000000,0.000000,-0.045530,0.000000,0.060706,0.491224,0.521577,0.597460,0.000000,0.000000,0.000000
283.00,0.534857,0.090738,0.015123,0.519734,0.000000,0.000000,0.489488,0.000000,0.595349,-0.015123,0.000000,0.000000,-0.045369,0.000000,0.060492,0.489488,0.519734,0.595349,0.000000,0.000000,0.000000
284.00,0.532974,0.090418,0.015070,0.517904,0.000000,0.000000,0.487764,0.000000,0.593252,-0.015070,0.000000,0.000000,-0.045209,0.000000,0.060279,0.487764,0.517904,0.593252,0.000000,0.000000,0.000000
285.00,0.531103,0.090101,0.015017,0.516087,0.000000,0.000000,0.486053,0.000000,0.591171,-0.015017,0.000000,0.000000,-0.045050,0.000000,0.060067,0.486053,0.516087,0.591171,0.000000,0.000000,0.000000
286.00,0.529246,0.089786,0.014964,0.514282,0.000000,0.000000,0.484354,0.000000,0.589104,-0.014964,0.000000,0.000000,-0.044893,0.000000,0.059857,0.484354,0.514282,0.589104,0.000000,0.000000,0.000000
287.00,0.527402,0.089473,0.014912,0.512490,0.000000,0.000000,0.482666,0.000000,0.587051,-0.014912,0.000000,0.000000,-0.044736,0.000000,0.059649,0.482666,0.512490,0.587051,0.000000,0.000000,0.000000
288.00,0.525571,0.089162,0.014860,0.510711,0.000000,0.000000,0.480990,0.000000,0.585013,-0.014860,0.000000,0.000000,-0.044581,0.000000,0.059442,0.480990,0.510711,0.585013,0.000000,0.000000,0.000000
289.00,0.523753,0.088854,0.014809,0.508944,0.000000,0.000000,0.479326,0.000000,0.582988,-0.014809,0.000000,0.000000,-0.044427,0.000000,0.059236,0.479326,0.508944,0.582988,0.000000,0.000000,0.000000
290.00,0.521946,0.088547,0.014758,0.507189,0.000000,0.000000,0.477673,0.000000,0.580978,-0.014758,0.000000,0.000000,-0.044274,0.000000,0.059032,0.477673,0.507189,0.580978,0.000000,0.000000,0.000000
291.00,0.520153,0.088243,0.014707,0.505446,0.000000,0.000000,0.476031,0.000000,0.578982,-0.014707,0.000000,0.000000,-0.044122,0.000000,0.058829,0.476031,0.505446,0.578982,0.000000,0.000000,0.000000
292.00,0.518371,0.087941,0.014657,0.503715,0.000000,0.000000,0.474401,0.000000,0.576999,-0.014657,0.000000,0.000000,-0.043970,0.000000,0.058627,0.474401,0.503715,0.576999,0.000000,0.000000,0.000000
293.00,0.516602,0.087641,0.014607,0.501996,0.000000,0.000000,0.472782,0.000000,0.575029,-0.014607,0.000000,0.000000,-0.043820,0.000000,0.058427,0.472782,0.501996,0.575029,0.000000,0.000000,0.000000
294.00,0.514845,0.087343,0.014557,0.500288,0.000000,0.000000,0.471174,0.000000,0.573074,-0.014557,0.000000,0.000000,-0.043671,0.000000,0.058228,0.471174,0.500288,0.573074,0.000000,0.000000,0.000000
295.00,0.513100,0.087047,0.014508,0.498592,0.000000,0.000000,0.469577,0.000000,0.571131,-0.014508,0.000000,0.000000,-0.043523,0.000000,0.058031,0.469577,0.498592,0.571131,0.000000,0.000000,0.000000
296.00,0.511366,0.086752,0.014459,0.496908,0.000000,0.000000,0.467990,0.000000,0.569201,-0.014459,0.000000,0.000000,-0.043376,0.000000,0.057835,0.467990,0.496908,0.569201,0.000000,0.000000,0.000000
297.00,0.509645,0.086460,0.014410,0.495235,0.000000,0.000000,0.466415,0.000000,0.567285,-0.014410,0.000000,0.000000,-0.043230,0.000000,0.057640,0.466415,0.495235,0.567285,0.000000,0.000000,0.000000
298.00,0.507934,0.086170,0.014362,0.493573,0.000000,0.000000,0.464849,0.000000,0.565381,-0.014362,0.000000,0.000000,-0.043085,0.000000,0.057447,0.464849,0.493573,0.565381,0.000000,0.000000,0.000000
299.00,0.506236,0.085882,0.014314,0.491922,0.000000,0.000000,0.463295,0.000000,0.563490,-0.014314,0.000000,0.000000,-0.042941,0.000000,0.057255,0.463295,0.491922,0.563490,0.000000,0.000000,0.000000
300.00,0.504548,0.085596,0.014266,0.490282,0.000000,0.000000,0.461750,0.000000,0.561612,-0.014266,0.000000,0.000000,-0.042798,0.000000,0.057064,0.461750,0.490282,0.561612,0.000000,0.000000,0.000000
